High,Month,Model_ID,AI_Service,Department,Transactions_Processed,Accuracy_Score,Prediction_Confidence,Bias_Flag_Count,Manual_Override_Count,Customer_Complaints,Compliance_Violations,Cloud_Resource_Cost,Avg_Response_Time,Failed_Decisions,Risk_Level,Compliance_Status,Region
RID0211,Jul,M103,Fraud Detection AI,Sales,3462,76.74,78.88,5,63,22,8,2574,5.76,173,Critical,Violation,Midlands
RID0212,Nov,M103,Fraud Detection AI,Sales,1702,86.71,86.95,1,94,0,7,5072,3.47,92,Critical,Violation,London
RID0213,Dec,M101,Resume Screening AI,Finance,3379,85.27,85.54,10,17,12,1,6896,5.7,107,High,Review Required,Scotland
RID0214,Jul,M104,Loan Approval AI,Sales,3406,83.81,84.85,6,60,6,3,8242,6.68,116,Medium,Review Required,London
RID0215,Dec,M103,Fraud Detection AI,Sales,4255,88.77,88.43,2,56,14,7,3321,6.31,77,Critical,Violation,London
RID0216,Feb,M102,Customer Support Chatbot,Customer Service,4306,79.8,81.49,1,33,28,4,6868,6.34,150,High,Violation,London
RID0217,Mar,M103,Fraud Detection AI,Customer Service,3821,82.89,83.96,1,77,8,8,8662,5.11,123,Critical,Violation,London
RID0218,Dec,M101,Resume Screening AI,HR,4083,74.58,76.94,9,11,0,0,7786,4.15,194,Critical,Compliant,London
RID0219,Jul,M102,Customer Support Chatbot,Operations,3723,71.35,75.26,3,36,20,5,3675,6.46,216,Critical,Violation,North UK
RID0220,Mar,M102,Customer Support Chatbot,Operations,2121,94.94,93.29,5,51,49,1,8874,8.11,28,Medium,Review Required,Midlands
RID0221,Jun,M101,Resume Screening AI,HR,1796,81.91,82.83,5,37,15,1,4673,4.12,133,High,Review Required,Scotland
RID0222,Dec,M101,Resume Screening AI,HR,4219,71.97,75.58,12,17,14,2,7651,6.65,212,Critical,Review Required,London
RID0223,Apr,M103,Fraud Detection AI,Finance,3188,79.4,81.66,5,80,0,8,5340,2.03,151,Critical,Violation,Scotland
RID0224,Dec,M102,Customer Support Chatbot,Finance,3074,91.52,91.02,5,49,23,2,5794,7.33,53,Medium,Review Required,London
RID0225,Jun,M105,Inventory Forecast AI,Finance,4202,87.46,87.31,6,60,24,4,14876,2.29,90,High,Violation,Scotland
RID0226,Jan,M102,Customer Support Chatbot,Finance,4304,85.31,86.02,1,20,21,3,4186,6.62,102,Medium,Review Required,London
RID0227,Jul,M103,Fraud Detection AI,HR,1089,94.76,92.95,2,82,22,7,2090,1.05,31,Critical,Violation,North UK
RID0228,Jun,M104,Loan Approval AI,HR,4238,89.16,89.26,0,43,8,4,5091,5.1,77,High,Violation,Scotland
RID0229,Jan,M101,Resume Screening AI,Operations,2948,76.36,79.59,15,60,9,0,6889,6.2,174,Critical,Compliant,London
RID0230,Dec,M101,Resume Screening AI,HR,4912,90.84,90.47,6,23,6,2,3872,3.72,58,Medium,Review Required,Scotland
RID0231,Oct,M102,Customer Support Chatbot,Sales,4715,67.44,71.53,8,23,45,4,6598,8.93,248,Critical,Violation,London
RID0232,Jan,M104,Loan Approval AI,Sales,4304,72.62,75.65,4,7,21,4,2801,2.62,209,Critical,Violation,North UK
RID0233,Aug,M101,Resume Screening AI,Customer Service,4541,89.13,88.76,11,27,3,1,5494,2.05,78,Critical,Review Required,Scotland
RID0234,Dec,M104,Loan Approval AI,Sales,2370,69.2,73.59,8,8,15,1,8692,5.32,234,Critical,Review Required,Midlands
RID0235,Nov,M102,Customer Support Chatbot,Operations,936,72.3,75.49,2,44,19,5,2733,10.62,209,Critical,Violation,London
RID0236,May,M104,Loan Approval AI,Customer Service,3072,91.6,91.18,5,32,4,4,5587,2.34,53,High,Violation,Scotland
RID0237,May,M103,Fraud Detection AI,Sales,3968,78.09,80.06,2,56,11,9,8992,2.02,161,Critical,Violation,Scotland
RID0238,Dec,M105,Inventory Forecast AI,Sales,1591,79.23,81.39,2,43,7,2,13736,5.1,153,High,Review Required,North UK
RID0239,Jun,M105,Inventory Forecast AI,Operations,1389,69.85,73.79,7,29,24,1,9106,1.5,232,Critical,Review Required,Midlands
RID0240,Sep,M101,Resume Screening AI,Customer Service,4168,80.46,81.49,9,52,15,1,5358,6.98,148,High,Review Required,Scotland
RID0241,Apr,M103,Fraud Detection AI,HR,4255,80.03,81.58,0,54,4,4,6438,3.58,150,High,Violation,Scotland
RID0242,Aug,M105,Inventory Forecast AI,Operations,1886,72.42,76.17,2,44,12,4,9021,3.44,205,Critical,Violation,Midlands
RID0243,Dec,M105,Inventory Forecast AI,Sales,3469,81.47,82.79,7,46,3,4,14697,3.28,139,High,Violation,Midlands
RID0244,Jul,M101,Resume Screening AI,HR,3631,67.96,71.51,12,13,1,2,8143,6.17,247,Critical,Review Required,London
RID0245,Oct,M102,Customer Support Chatbot,Customer Service,1564,79.75,81.72,0,44,19,3,3200,6.7,150,High,Review Required,Midlands
RID0246,Jan,M102,Customer Support Chatbot,HR,2466,72.95,76.67,6,6,27,4,4745,6.28,202,Critical,Violation,Scotland
RID0247,Jul,M105,Inventory Forecast AI,Finance,2793,70.92,73.91,4,20,5,1,13710,2.01,221,Critical,Review Required,Midlands
RID0248,May,M105,Inventory Forecast AI,Customer Service,3773,70.97,75.13,0,33,9,4,11434,5.59,218,Critical,Violation,Scotland
RID0249,Feb,M105,Inventory Forecast AI,Operations,841,69.08,72.41,5,26,17,3,9740,2.69,238,Critical,Review Required,London
RID0250,Mar,M102,Customer Support Chatbot,HR,1525,80.5,81.75,0,25,23,2,3763,10.56,143,High,Review Required,North UK
RID0251,Jul,M105,Inventory Forecast AI,Sales,913,73.5,76.59,6,13,6,5,11026,2.13,198,Critical,Violation,Scotland
RID0252,Feb,M101,Resume Screening AI,Finance,3758,90.23,89.26,10,46,7,0,2284,6.79,68,High,Compliant,London
RID0253,Apr,M105,Inventory Forecast AI,Customer Service,2494,93.46,91.97,2,43,25,2,9745,4.22,41,Medium,Review Required,North UK
RID0254,May,M102,Customer Support Chatbot,Finance,3520,73.45,76.99,3,45,41,4,7780,7.49,197,Critical,Violation,Midlands
RID0255,Jun,M101,Resume Screening AI,HR,846,77.69,80.08,12,32,13,0,2126,6.99,169,Critical,Compliant,Midlands
RID0256,Dec,M103,Fraud Detection AI,Customer Service,4829,70.02,74,7,96,20,10,5450,6.99,228,Critical,Violation,London
RID0257,Nov,M101,Resume Screening AI,Operations,1893,96.87,94.87,12,17,18,0,6286,3.61,15,Critical,Compliant,Midlands
RID0258,Jul,M102,Customer Support Chatbot,Sales,1910,83.74,84.52,4,35,24,4,6598,5.2,120,High,Violation,London
RID0259,Sep,M105,Inventory Forecast AI,Operations,3530,90.39,89.23,1,5,8,3,9219,6.36,68,Medium,Review Required,North UK
RID0260,Jul,M105,Inventory Forecast AI,HR,1379,67.45,71.82,5,51,1,5,9703,2.77,250,Critical,Violation,North UK
RID0261,Oct,M104,Loan Approval AI,Sales,1119,88.24,88.7,0,45,6,3,3512,6.48,81,Medium,Review Required,Scotland
RID0262,Aug,M104,Loan Approval AI,Finance,4433,87.53,87.73,3,21,22,5,5050,1.51,86,High,Violation,London
RID0263,Feb,M104,Loan Approval AI,Sales,2230,72.87,75.72,0,24,19,0,5018,2.98,203,Critical,Compliant,London
RID0264,Nov,M101,Resume Screening AI,HR,3212,77.91,80.13,7,47,10,0,3854,4.26,164,High,Compliant,Midlands
RID0265,Jan,M103,Fraud Detection AI,Operations,1637,78.47,80.4,2,79,21,10,2671,2.37,160,Critical,Violation,North UK
RID0266,Apr,M103,Fraud Detection AI,Sales,3271,74.91,77.65,1,63,25,5,2803,3.92,186,Critical,Violation,Midlands
RID0267,Aug,M104,Loan Approval AI,HR,3258,90.63,90.61,6,48,11,2,4238,2.85,61,Medium,Review Required,Scotland
RID0268,Jul,M105,Inventory Forecast AI,Sales,4894,70.3,74.1,2,8,11,5,9886,5.2,224,Critical,Violation,Scotland
RID0269,Jan,M101,Resume Screening AI,HR,3198,96.11,94.78,14,21,15,3,2805,2.99,17,Critical,Review Required,Scotland
RID0270,Mar,M102,Customer Support Chatbot,Customer Service,1760,97.69,95.67,5,6,36,4,4089,9.09,10,High,Violation,Scotland
RID0271,Nov,M104,Loan Approval AI,Sales,3607,72.1,75.42,8,54,15,4,3201,2.17,208,Critical,Violation,Scotland
RID0272,Jan,M102,Customer Support Chatbot,Operations,1677,78.62,81.16,3,15,33,5,8379,7.21,157,High,Violation,London
RID0273,Sep,M104,Loan Approval AI,Finance,1677,95.83,94.16,7,13,1,4,2840,6.04,25,High,Violation,North UK
RID0274,Mar,M103,Fraud Detection AI,Finance,2819,83.29,84.67,6,48,17,4,3178,2.32,120,High,Violation,Midlands
RID0275,Dec,M102,Customer Support Chatbot,Customer Service,3221,86.8,86.9,2,9,17,0,5945,8.89,92,Medium,Compliant,Midlands
RID0276,Aug,M101,Resume Screening AI,Operations,1308,76.66,78.9,8,8,10,4,7277,4.94,175,High,Violation,Midlands
RID0277,Mar,M105,Inventory Forecast AI,Operations,3924,83.12,83.97,0,56,10,4,13821,4.84,121,High,Violation,Midlands
RID0278,Mar,M105,Inventory Forecast AI,Customer Service,2442,95.2,93.9,1,21,3,2,11998,3.79,27,Medium,Review Required,North UK
RID0279,Aug,M104,Loan Approval AI,HR,4843,90.8,90.57,3,11,9,2,7872,1.33,61,Medium,Review Required,Midlands
RID0280,Sep,M105,Inventory Forecast AI,HR,1079,88.31,88.6,1,20,16,5,12723,4.93,84,High,Violation,Midlands
RID0281,Nov,M105,Inventory Forecast AI,Sales,1296,69.17,72.62,2,17,23,2,12506,1.39,238,Critical,Review Required,Scotland
RID0282,Oct,M103,Fraud Detection AI,Operations,1810,96.18,94.65,7,99,13,10,6490,4.7,17,Critical,Violation,London
RID0283,Nov,M104,Loan Approval AI,Finance,3012,78.06,79.92,4,6,3,5,4274,6.42,163,High,Violation,North UK
RID0284,Dec,M101,Resume Screening AI,Finance,1574,69.61,73.08,12,11,7,1,3391,4.54,230,Critical,Review Required,London
RID0285,Aug,M101,Resume Screening AI,HR,1471,84.4,85.18,11,42,11,5,6919,1.25,111,Critical,Violation,London
RID0286,Dec,M105,Inventory Forecast AI,Finance,943,69.99,73.78,4,38,12,1,13134,3.45,230,Critical,Review Required,London
RID0287,Mar,M105,Inventory Forecast AI,HR,1034,88.43,88.47,1,43,11,1,10696,1.46,83,Medium,Review Required,Scotland
RID0288,Aug,M103,Fraud Detection AI,Operations,1859,72.61,75.8,1,92,10,7,6897,2.12,210,Critical,Violation,North UK
RID0289,Sep,M102,Customer Support Chatbot,Operations,1275,92.2,90.75,4,25,39,1,3714,8.6,54,Medium,Review Required,Midlands
RID0290,Aug,M101,Resume Screening AI,HR,3962,68.54,72.71,9,55,11,1,5208,1.55,239,Critical,Review Required,North UK
RID0291,Feb,M105,Inventory Forecast AI,Customer Service,2884,95.24,93.91,0,41,0,1,12330,2.38,30,Low,Review Required,North UK
RID0292,Jun,M102,Customer Support Chatbot,Customer Service,2236,81.64,83.04,1,15,30,1,3209,9.26,136,High,Review Required,London
RID0293,Aug,M105,Inventory Forecast AI,Finance,2361,91.51,90.1,2,49,0,3,9848,3.4,59,Medium,Review Required,North UK
RID0294,Oct,M102,Customer Support Chatbot,HR,3010,91.55,90.7,3,38,26,3,4023,7.92,54,Medium,Review Required,Midlands
RID0295,Dec,M104,Loan Approval AI,Customer Service,4425,83.16,84.27,4,49,23,4,8744,5.95,124,High,Violation,Scotland
RID0296,May,M103,Fraud Detection AI,HR,2431,70.86,74.47,8,65,6,4,8409,2.94,219,Critical,Violation,Scotland
RID0297,Oct,M104,Loan Approval AI,Operations,3290,90.15,90.25,4,45,17,5,3857,1.29,66,High,Violation,Scotland
RID0298,Feb,M103,Fraud Detection AI,Operations,4706,94.82,93.53,6,82,11,10,3039,2.68,31,Critical,Violation,Midlands
RID0299,Mar,M101,Resume Screening AI,Finance,2866,87.74,87.51,13,54,5,3,8045,6.58,86,Critical,Review Required,Scotland
RID0300,Mar,M101,Resume Screening AI,Sales,1728,72.45,75.42,10,38,9,0,8072,2.74,207,Critical,Compliant,Scotland
RID0301,Mar,M105,Inventory Forecast AI,HR,1201,79.66,81.6,3,14,14,1,12834,3.91,150,High,Review Required,London
RID0302,Nov,M103,Fraud Detection AI,Customer Service,3655,72.71,76.28,1,83,23,4,8900,6.67,205,Critical,Violation,North UK
RID0303,Oct,M101,Resume Screening AI,Operations,1321,88.26,87.89,15,53,1,5,8358,3.36,82,Critical,Violation,Midlands
RID0304,Aug,M103,Fraud Detection AI,Sales,3154,84.98,86.24,4,53,5,4,7294,4.61,107,High,Violation,Scotland
RID0305,Nov,M103,Fraud Detection AI,Customer Service,4755,74.84,78.2,0,99,5,5,4897,6.57,187,Critical,Violation,North UK
RID0306,Mar,M102,Customer Support Chatbot,Finance,1211,72.77,76.35,6,55,24,4,7558,10.31,204,Critical,Violation,Scotland
RID0307,Nov,M102,Customer Support Chatbot,Customer Service,3237,90.6,89.35,4,43,45,2,8942,7.69,67,Medium,Review Required,Midlands
RID0308,Apr,M105,Inventory Forecast AI,Customer Service,4951,96.98,95.21,0,6,20,4,9934,4.75,16,High,Violation,London
RID0309,Nov,M105,Inventory Forecast AI,Sales,2419,83.49,84.82,1,54,2,0,13361,3.55,119,Medium,Compliant,Scotland
RID0310,Oct,M102,Customer Support Chatbot,HR,4422,85.3,85.31,4,46,33,0,4671,9.48,107,Medium,Compliant,London
RID0311,Mar,M102,Customer Support Chatbot,Customer Service,2197,80.08,82.07,6,49,47,3,5874,6.64,148,High,Review Required,North UK
RID0312,Jul,M104,Loan Approval AI,Finance,4611,78.83,81.14,6,9,13,2,5835,6.51,158,High,Review Required,North UK
RID0313,Oct,M102,Customer Support Chatbot,Sales,2650,94.98,93.91,1,7,31,4,7270,10.49,28,High,Violation,London
RID0314,Jun,M105,Inventory Forecast AI,Sales,3782,79.79,81.63,3,16,24,1,11518,1.59,146,High,Review Required,Scotland
RID0315,Sep,M101,Resume Screening AI,Operations,1251,81.54,82.74,7,7,25,2,8328,1.77,133,High,Review Required,Midlands
RID0316,Aug,M102,Customer Support Chatbot,Sales,1146,89.19,88.95,3,43,29,0,8619,5.65,78,Medium,Compliant,Scotland
RID0317,Nov,M101,Resume Screening AI,HR,1435,76.19,79.21,11,60,0,1,3969,3.56,177,Critical,Review Required,North UK
RID0318,Mar,M105,Inventory Forecast AI,Customer Service,4869,73.84,76.72,2,10,7,1,14637,3.98,197,Critical,Review Required,Scotland
RID0319,Feb,M104,Loan Approval AI,Customer Service,3994,85.75,86.52,0,31,20,5,2012,3.15,104,High,Violation,Midlands
RID0320,Oct,M103,Fraud Detection AI,Operations,2572,70.91,74.71,1,48,25,10,6353,5.06,221,Critical,Violation,Scotland
RID0321,Nov,M105,Inventory Forecast AI,Finance,4129,81.87,82.99,0,52,15,4,14515,3.44,131,High,Violation,London
RID0322,Sep,M101,Resume Screening AI,Customer Service,856,69.94,73.94,13,8,10,2,2594,6.28,229,Critical,Review Required,Midlands
RID0323,Feb,M104,Loan Approval AI,Sales,1085,88.37,88.61,5,51,19,3,3117,6.82,80,Medium,Review Required,North UK
RID0324,Jul,M102,Customer Support Chatbot,HR,2014,71.08,74.89,8,23,35,1,2143,7.92,220,Critical,Review Required,London
RID0325,Mar,M102,Customer Support Chatbot,Operations,3403,93.98,92.46,3,34,50,2,6127,10.26,38,Medium,Review Required,North UK
RID0326,Mar,M102,Customer Support Chatbot,Finance,817,77.62,80.15,5,14,45,4,6161,8.47,167,High,Violation,London
RID0327,Jun,M101,Resume Screening AI,Customer Service,3895,77.53,79.56,5,50,1,1,5396,4.91,169,High,Review Required,Scotland
RID0328,May,M105,Inventory Forecast AI,Operations,4085,71.4,75.29,2,35,7,3,14838,5,216,Critical,Review Required,North UK
RID0329,Mar,M104,Loan Approval AI,Customer Service,4924,69.1,72.86,6,53,17,5,4407,4.03,232,Critical,Violation,Midlands
RID0330,Jun,M101,Resume Screening AI,Finance,3120,69.49,73.37,8,11,11,4,3223,3.77,234,Critical,Violation,Midlands
RID0331,Sep,M104,Loan Approval AI,HR,4581,75.39,78.7,2,57,2,4,5319,4.01,182,Critical,Violation,North UK
RID0332,Mar,M101,Resume Screening AI,Finance,1187,96.5,94.72,15,39,25,3,8566,5.33,18,Critical,Review Required,Scotland
RID0333,Feb,M101,Resume Screening AI,Operations,3261,80.32,82.09,13,58,3,2,6349,2.28,146,Critical,Review Required,Scotland
RID0334,Dec,M105,Inventory Forecast AI,Sales,1999,74.43,77.36,1,56,14,3,12998,6.43,189,Critical,Review Required,Scotland
RID0335,Jul,M104,Loan Approval AI,Finance,3305,74.98,78.11,3,50,20,3,2448,1.8,187,Critical,Review Required,North UK
RID0336,Oct,M105,Inventory Forecast AI,Operations,1952,95.72,93.86,7,14,24,1,9593,3.63,25,High,Review Required,Midlands
RID0337,Nov,M101,Resume Screening AI,Finance,2651,84.82,85.69,9,42,5,1,2056,4.85,109,High,Review Required,Scotland
RID0338,Sep,M104,Loan Approval AI,Finance,3445,79.13,81.59,4,58,0,2,6557,5.23,154,High,Review Required,London
RID0339,Jan,M104,Loan Approval AI,Sales,1840,70.73,74.75,4,7,12,0,6404,3.83,221,Critical,Compliant,North UK
RID0340,Feb,M104,Loan Approval AI,HR,2893,77.13,80.13,3,44,10,5,7575,5.23,168,High,Violation,Scotland
RID0341,Aug,M104,Loan Approval AI,Finance,3119,80.99,82.75,8,53,15,4,3606,6.05,140,High,Violation,Midlands
RID0342,Apr,M105,Inventory Forecast AI,Sales,2954,74.07,77.18,0,14,17,5,14687,3.28,195,Critical,Violation,Scotland
RID0343,May,M104,Loan Approval AI,Operations,4792,95.73,95.09,1,10,17,0,7962,6.98,19,Low,Compliant,North UK
RID0344,Apr,M104,Loan Approval AI,Finance,1334,84,85.05,1,41,23,3,8754,4.29,112,Medium,Review Required,Scotland
RID0345,Oct,M102,Customer Support Chatbot,Customer Service,3938,94.85,93.62,6,22,34,3,6067,7.72,29,Medium,Review Required,Midlands
RID0346,Jan,M102,Customer Support Chatbot,Sales,1276,79.2,81.19,2,8,38,0,3828,8.18,157,High,Compliant,Scotland
RID0347,Mar,M105,Inventory Forecast AI,Customer Service,2776,84.1,85.27,5,60,9,0,9856,6.98,112,Medium,Compliant,Midlands
RID0348,Jul,M105,Inventory Forecast AI,Sales,4051,77.58,80.18,7,54,13,4,14658,4.51,164,High,Violation,Scotland
RID0349,Nov,M101,Resume Screening AI,Customer Service,1228,69.07,72.21,9,43,7,1,3771,5.87,239,Critical,Review Required,North UK
RID0350,Apr,M101,Resume Screening AI,HR,1700,95.3,93.79,14,45,21,4,2693,1.96,27,Critical,Violation,London
RID0351,May,M105,Inventory Forecast AI,Customer Service,1623,70.45,74.05,8,5,9,1,10773,5.14,228,Critical,Review Required,Scotland
RID0352,May,M104,Loan Approval AI,HR,4264,78.41,80.47,6,17,15,3,3966,2.84,163,High,Review Required,London
RID0353,Sep,M105,Inventory Forecast AI,Sales,2168,69.04,73.18,6,26,6,2,9249,1.84,234,Critical,Review Required,Scotland
RID0354,Apr,M105,Inventory Forecast AI,Customer Service,1687,78.12,80.73,1,13,17,5,14781,4.12,161,High,Violation,North UK
RID0355,Dec,M104,Loan Approval AI,Customer Service,4755,68.22,71.89,4,40,4,5,4525,4.11,242,Critical,Violation,Midlands
RID0356,May,M103,Fraud Detection AI,Sales,4100,72.42,75.23,8,60,19,5,8535,5.64,208,Critical,Violation,London
RID0357,Jun,M101,Resume Screening AI,Finance,1251,73.41,76.62,8,24,16,0,7198,2.29,202,Critical,Compliant,North UK
RID0358,Mar,M104,Loan Approval AI,HR,2154,67.74,71.79,2,25,25,0,7098,4.74,248,Critical,Compliant,Scotland
RID0359,May,M103,Fraud Detection AI,Operations,2572,67.74,72.39,7,60,12,5,4132,5.13,244,Critical,Violation,London
RID0360,Dec,M101,Resume Screening AI,HR,1681,82.96,84.35,10,20,1,0,5769,2.46,123,High,Compliant,London
RID0361,Jun,M105,Inventory Forecast AI,HR,4467,77.66,79.45,4,19,8,3,9773,4.41,168,High,Review Required,London
RID0362,Nov,M103,Fraud Detection AI,Customer Service,1204,67.61,71.6,0,58,22,9,2484,5.62,245,Critical,Violation,North UK
RID0363,Apr,M102,Customer Support Chatbot,Sales,2541,70.77,74.58,5,38,22,5,8137,9.38,221,Critical,Violation,Midlands
RID0364,Mar,M102,Customer Support Chatbot,Customer Service,4526,77.12,79.12,8,48,36,1,4211,6.36,175,High,Review Required,London
RID0365,Oct,M103,Fraud Detection AI,Operations,3395,68.2,72.36,2,76,25,8,7487,1.13,240,Critical,Violation,London
RID0366,Jul,M105,Inventory Forecast AI,Finance,4492,95.71,93.86,0,34,17,0,13709,2.71,23,Low,Compliant,Midlands
RID0367,Feb,M102,Customer Support Chatbot,Sales,1307,71.65,75.61,1,18,38,5,3772,9.29,213,Critical,Violation,Scotland
RID0368,Jun,M105,Inventory Forecast AI,Operations,2694,90.11,89.51,8,41,14,4,11951,4.34,67,High,Violation,Scotland
RID0369,Mar,M103,Fraud Detection AI,Customer Service,2828,76,79.07,3,71,23,9,3524,2.22,179,Critical,Violation,Midlands
RID0370,Dec,M103,Fraud Detection AI,Operations,2932,88.47,87.9,0,58,19,7,8006,6.43,83,Critical,Violation,London
RID0371,Feb,M105,Inventory Forecast AI,Operations,4980,88.53,88.17,6,23,17,3,11656,4.83,82,Medium,Review Required,North UK
RID0372,Aug,M105,Inventory Forecast AI,Sales,3071,89.32,89.47,0,17,0,3,9287,1.5,70,Medium,Review Required,Scotland
RID0373,Mar,M103,Fraud Detection AI,Customer Service,3004,88.09,88.46,8,52,5,5,6480,2.66,84,High,Violation,Midlands
RID0374,Jan,M102,Customer Support Chatbot,Customer Service,1343,77.21,79.74,8,9,37,4,3030,8.62,172,High,Violation,Midlands
RID0375,Jan,M103,Fraud Detection AI,Sales,2344,70.4,73.62,3,81,20,8,3057,1.21,227,Critical,Violation,London
RID0376,Mar,M103,Fraud Detection AI,Customer Service,1570,95.77,94.17,2,44,25,10,2220,1.76,21,Critical,Violation,Scotland
RID0377,Dec,M105,Inventory Forecast AI,Customer Service,3700,68.42,73.05,8,53,14,0,11825,4.58,238,Critical,Compliant,London
RID0378,Nov,M104,Loan Approval AI,Operations,3790,76.42,79.12,5,30,9,2,6681,6.13,174,High,Review Required,Midlands
RID0379,Nov,M103,Fraud Detection AI,Sales,2921,88.24,88.33,5,63,10,5,7466,5.53,85,High,Violation,Midlands
RID0380,Feb,M103,Fraud Detection AI,HR,1310,70.76,73.83,0,62,11,6,6347,3.44,225,Critical,Violation,Scotland
RID0381,Sep,M102,Customer Support Chatbot,Operations,2296,68.09,72.88,1,12,42,5,3302,10.57,241,Critical,Violation,London
RID0382,Apr,M104,Loan Approval AI,Customer Service,2924,69.26,72.79,2,41,18,1,5718,4.45,237,Critical,Review Required,Scotland
RID0383,Dec,M104,Loan Approval AI,Operations,2380,84.2,84.48,5,43,0,5,5581,1.27,116,High,Violation,London
RID0384,Jan,M105,Inventory Forecast AI,Sales,2447,78.08,79.51,4,7,2,0,12816,4.01,167,High,Compliant,Midlands
RID0385,Dec,M104,Loan Approval AI,Finance,4636,72.97,76.36,3,59,22,4,4532,3.33,206,Critical,Violation,North UK
RID0386,Nov,M105,Inventory Forecast AI,Customer Service,2681,91.84,91.96,0,35,20,5,13326,2.73,50,High,Violation,Scotland
RID0387,Aug,M101,Resume Screening AI,Sales,1934,78.56,80.43,13,50,15,0,8686,1.67,159,Critical,Compliant,North UK
RID0388,Jan,M103,Fraud Detection AI,HR,3259,67.84,71.61,5,51,21,3,3418,4.67,249,Critical,Review Required,Scotland
RID0389,Nov,M105,Inventory Forecast AI,Operations,4127,90.19,89.98,5,42,8,0,14149,4.96,66,Medium,Compliant,Scotland
RID0390,Mar,M105,Inventory Forecast AI,HR,1867,76.51,79.02,4,13,25,2,9595,4.19,177,High,Review Required,North UK
RID0391,Jun,M103,Fraud Detection AI,Customer Service,3288,81.36,82.86,4,61,16,5,6931,2.44,139,High,Violation,Scotland
RID0392,Jun,M104,Loan Approval AI,Operations,4400,68.2,72.51,2,28,17,0,7928,2.75,242,Critical,Compliant,North UK
RID0393,Sep,M103,Fraud Detection AI,Operations,818,74.13,77.55,1,91,2,5,8428,2.16,192,Critical,Violation,Scotland
RID0394,Jul,M101,Resume Screening AI,Sales,3895,72.15,75.49,8,48,1,3,3186,1.78,214,Critical,Review Required,London
RID0395,Sep,M102,Customer Support Chatbot,HR,3410,89.67,89.4,6,13,21,5,3496,7.24,69,High,Violation,North UK
RID0396,Sep,M101,Resume Screening AI,Sales,4807,79.11,80.77,15,48,20,0,4562,2,159,Critical,Compliant,Scotland
RID0397,Dec,M101,Resume Screening AI,Finance,3955,77.77,79.99,11,56,25,4,6131,5.26,168,Critical,Violation,London
RID0398,Dec,M103,Fraud Detection AI,Operations,3782,69.73,73.75,2,80,7,3,4801,5.44,228,Critical,Review Required,London
RID0399,Aug,M105,Inventory Forecast AI,Finance,3886,88.91,89.04,7,6,14,2,13970,5.98,77,High,Review Required,Scotland
RID0400,Jan,M101,Resume Screening AI,HR,1725,82.3,83.05,10,22,3,5,5201,5.21,130,High,Violation,Midlands
RID0401,Aug,M104,Loan Approval AI,HR,4571,88.69,88.11,6,56,22,0,3981,4.97,82,Medium,Compliant,Scotland
RID0402,Oct,M105,Inventory Forecast AI,Customer Service,3686,73.53,76.27,8,52,21,2,9888,6.54,202,Critical,Review Required,North UK
RID0403,Mar,M105,Inventory Forecast AI,Sales,3491,94.41,93.95,8,21,23,0,11783,1.82,30,High,Compliant,Scotland
RID0404,Feb,M105,Inventory Forecast AI,Operations,4148,76.12,78.78,0,32,10,4,10334,3.89,176,High,Violation,London
RID0405,Dec,M105,Inventory Forecast AI,HR,1423,90.03,89.74,7,13,24,3,11761,1.08,67,High,Review Required,London
RID0406,Jan,M102,Customer Support Chatbot,Customer Service,2797,93.74,92.94,1,53,35,1,5615,9.19,38,Low,Review Required,London
RID0407,Jun,M105,Inventory Forecast AI,Sales,2656,87.06,87.66,7,29,9,3,11327,6.42,90,High,Review Required,North UK
RID0408,Oct,M102,Customer Support Chatbot,Customer Service,4994,84.27,84.41,1,55,28,0,4482,8.77,116,Medium,Compliant,Scotland
RID0409,Jul,M101,Resume Screening AI,Sales,3170,91.7,90.96,10,52,22,1,5073,6.59,55,High,Review Required,North UK
RID0410,Mar,M104,Loan Approval AI,Operations,3612,79.47,81.29,1,38,10,2,7624,5.57,152,High,Review Required,North UK
RID0411,Sep,M105,Inventory Forecast AI,Operations,4740,90.95,89.89,5,18,19,1,13708,1.88,64,Medium,Review Required,Scotland
RID0412,Jan,M104,Loan Approval AI,Finance,1484,88.4,88.55,3,8,24,1,2157,3.43,81,Medium,Review Required,Scotland
RID0413,Jun,M104,Loan Approval AI,Sales,3607,78.35,80.75,0,11,19,4,2138,1.98,161,High,Violation,Midlands
RID0414,May,M102,Customer Support Chatbot,Sales,813,82.79,84.28,6,27,44,3,5846,8.42,127,High,Review Required,Scotland
RID0415,Jun,M101,Resume Screening AI,Customer Service,2644,68.98,73.04,13,35,16,3,4180,3.33,237,Critical,Review Required,Midlands
RID0416,Mar,M103,Fraud Detection AI,Sales,1222,68.82,72.55,7,79,14,10,3469,1.4,241,Critical,Violation,North UK
RID0417,Aug,M101,Resume Screening AI,Finance,3953,88.46,88.6,9,50,25,1,3387,1.56,82,High,Review Required,Midlands
RID0418,Jun,M103,Fraud Detection AI,Finance,2888,91.53,90.41,4,82,19,4,6032,3.4,56,High,Violation,Midlands
RID0419,Dec,M101,Resume Screening AI,Finance,2881,81.89,83.51,10,40,4,1,6509,4.18,129,High,Review Required,Scotland
RID0420,Mar,M105,Inventory Forecast AI,HR,3494,92.77,92.59,4,13,18,0,12266,2.4,43,Medium,Compliant,North UK
